Series Name,URL,Sheets,GiD,ShortURL,Column 1,Column 7,,,Sheets,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=966258644&single=true,,,,,,,,,,,,,46656,392
Lets Go,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml?gid=1851585701&single=true,B,1851585701,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,B,1851585701,Megas & Specials,Series 6,,,,,,,,,,,,,,,,
Lets Party,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml?gid=462675161&single=true,D,462675161,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml,D,462675161,Movie / Motion,Series 5,,FALSE,,,,,,,,,,,,,,
Locker,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml?gid=1294748782&single=true,C,1294748782,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml,C,1294748782,Munchlings,Series 4,,#REF!,,,,,,,,,,,,,,
Movie / Micro,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml?gid=805262162&single=true,C,805262162,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml,C,805262162,Neon,Series 3,,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=&single=true,,,,,,,,,,,,,,
Neon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml?gid=1963193923&single=true,D,1963193923,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml,D,1963193923,Peeks,Megas & Specials,,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,,,,,,,,,,,,,,
Peeks,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml?gid=562576708&single=true,D,562576708,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml,D,562576708,Remember,Village Peeks,,,,,,,,,,,,,,,,
Remember,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml?gid=1895324979&single=true,C,1895324979,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml,C,1895324979,ReReleases,Movie / Motion,,,,,,,,,,,,,,,,
Just Play,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml?gid=2072086035&single=true,E,2072086035,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml,E,2072086035,Series 10,Let`s Go,,,,,,,,,,,,,,,,
Marvel,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml?gid=708712176&single=true,E,708712176,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml,E,708712176,Series 11,Cars,,,,,,,,,,,,,,,,
Squish,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml?gid=1223690921&single=true,E,1223690921,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml,E,1223690921,Series 12,Squish,,,,,,,,,,,,,,,,
