Series,Name,,Codes,,,,,,,
M.M. Vending,Inside Out,,"TL001, A008",,,,,,,
M.M. Vending,Lilo and Stitch,,A007,,,,,,,
M.M. Vending,Mickey & Friends,,A003,,,,,,,
M.M. Vending,Minnie & Friends,,"A002, A007",,,,,,,
M.M. Vending,Moana,,A005,,,,,,,
M.M. Vending,Nightmare Before Christmas,,A001,,,,,,,
M.M. Vending,Toy Story,,A004,,,,,,,
M.M. Vending,Winnie the Pooh,,A006,,,,,,,
Popcorn,Alien,,A002,,,,,,,
Popcorn,Cheshire Cat,,A003,,,,,,,
Popcorn,Minnie Mouse,,A001,,,,,,,
Popcorn,Stitch,,A004,,,,,,,
,,,,,,,,,,
Code,Series,Type,Character 1,Character 2,Character3,Character4,,,,
A208,1,2Pack,Dark Chocolate Ganache Truffle,Peanut Butter Swirl Cake Pop,,,Chip,Tigger,,
A209,1,2Pack,Dark Chocolate Ganache Truffle,Salted Caramel Chocolate Tart,,,Chip,Mickey Mouse,,
A210,1,2Pack,Cheesy Grilled Squash,French Hot Chocolate,,,Timon,Remy,,
A211,1,2Pack,Banana Berry Candy,Dragonfruit Petit Cake,,,Flounder,Pua,,
A212,1,2Pack,Dark Chocolate Ganache Truffle,Frosted Sugar,,,Chip,Nemo,,
A212,1,2Pack,Iced Sugar Cookie,Milk Chocolate Ganache Truffle,,,Donald Duck,Dale,,
A212,1,2Pack,Frosted Sugar,Milk Chocolate Ganache Truffle,,,Nemo,Dale,,
A213,1,2Pack,Peanut Butter Swirl Cake Pop,Tropical Fruit Slushy,,,Tigger,Hei Hei,,
A214,1,2Pack,Dark Chocolate Ganache Truffle,Onigiri Nori,,,Chip,Donald Duck,,
A215,1,2Pack,Chocolate Dipped Sponge Cake,Salted Caramel Chocolate Tart,,,Wall-E,Mickey Mouse,,
A216,1,2Pack,Dragonfruit Petit Cake,French Hot Chocolate,,,Pua,Remy,,
A217,1,2Pack,Frosted Sugar,Salmon Roll,,,Nemo,Daisy Duck,,
A217,1,2Pack,Iced Sugar Cookie,Salmon Roll,,,Donald Duck,Daisy Duck,,
A218,1,2Pack,Garlic Mini Baguette,Honey Cake,,,Tramp,Winnie the Pooh,,
A219,1,2Pack,Blueberry Pie,Peanut Butter Swirl Cake Pop,,,Sadness,Tigger,,
A220,1,2Pack,Mint Dipped Ice Cream Sandwich,Salted Caramel Chocolate Tart,,,Mickey Mouse,Mickey Mouse,,
A221,1,2Pack,Dark Chocolate Ganache Truffle,French Hot Chocolate,,,Chip,Remy,,
A222,1,2Pack,Dark Chocolate Ganache Truffle,Strawberry Sundae Waffle Bowl,,,Chip,Minnie Mouse,,
A223,1,2Pack,Dark Chocolate Ganache Truffle,Dragonfruit Petit Cake,,,Chip,Pua,,
A223,1,2Pack,Dragonfruit Petit Cake,Milk Chocolate Ganache Truffle,,,Pua,Dale,,
A224,1,2Pack,Cheesy Grilled Squash,Frosted Sugar,,,Timon,Nemo,,
A225,1,2Pack,Mixed Fruit Tart,Salmon Roll,,,Minnie Mouse,Daisy Duck,,
A226,1,2Pack,Dark Chocolate Ganache Truffle,Peanut Butter Swirl Cake Pop,,,Chip,Tigger,,
A227,1,2Pack,French Hot Chocolate,Salmon Roll,,,Remy,Daisy Duck,,
