Series,Name,,Codes,,,,,,,
M.M. Vending,Inside Out,,"TL001, A008",,,,,,,
M.M. Vending,Lilo and Stitch,,A007,,,,,,,
M.M. Vending,Mickey & Friends,,A003,,,,,,,
M.M. Vending,Minnie & Friends,,"A002, A007",,,,,,,
M.M. Vending,Moana,,A005,,,,,,,
M.M. Vending,Nightmare Before Christmas,,A001,,,,,,,
M.M. Vending,Toy Story,,A004,,,,,,,
M.M. Vending,Winnie the Pooh,,A006,,,,,,,
Popcorn,Alien,,A002,,,,,,,
Popcorn,Cheshire Cat,,A003,,,,,,,
Popcorn,Minnie Mouse,,A001,,,,,,,
Popcorn,Stitch,,A004,,,,,,,
,,,,,,,,,,
Code,Series,Type,Character 1,Character 2,Character3,Character4,,,,
B372,1,2Pack,Milk Chocolate Ganache Truffle,Mint Dipped Ice Cream Sandwich,,,Dale,Mickey Mouse,,
B373,1,2Pack,Dragonfruit Petit Cake,Strawberry Croissant,,,Pua,Emile,,
B401,1,2Pack,Cheesy Grilled Squash,Onigiri Nori,,,Timon,Donald Duck,,
C402,1,2Pack,Milk Chocolate Ganache Truffle,Mint Dipped Ice Cream Sandwich,,,Dale,Mickey Mouse,,
C403,1,2Pack,Dark Chocolate Ganache Truffle,Frosted Sugar,,,Chip,Nemo,,
C404,1,2Pack,Lettuce Wrap,Peanut Butter Swirl Cake Pop,,,Bambi,Tigger,,
C405,1,2Pack,Dragonfruit Petit Cake,Salted Caramel Chocolate Tart,,,Pua,Mickey Mouse,,
C406,1,2Pack,French Hot Chocolate,Frosted Sugar,,,Remy,Nemo,,
C407,1,2Pack,Sea Salt Caramel Cookie,Strawberry Sundae Waffle Bowl,,,Mochi,Minnie Mouse,,
C408,1,2Pack,Milk Chocolate Ganache Truffle,Peanut Butter Swirl Cake Pop,,,Dale,Tigger,,
C409,1,2Pack,Dark Chocolate Ganache Truffle,Salted Caramel Chocolate Tart,,,Chip,Mickey Mouse,,
C410,1,2Pack,Cheesy Grilled Squash,French Hot Chocolate,,,Timon,Remy,,
C411,1,2Pack,Banana Berry Candy,Dragonfruit Petit Cake,,,Flounder,Pua,,
C412,1,2Pack,Frosted Sugar,Milk Chocolate Ganache Truffle,,,Nemo,Dale,,
C413,1,2Pack,Peanut Butter Swirl Cake Pop,Tropical Fruit Slushy,,,Tigger,Hei Hei,,
C414,1,2Pack,Dark Chocolate Ganache Truffle,Onigiri Nori,,,Chip,Donald Duck,,
C415,1,2Pack,Chocolate Dipped Sponge Cake,Salted Caramel Chocolate Tart,,,Wall-E,Mickey Mouse,,
C416,1,2Pack,Dragonfruit Petit Cake,French Hot Chocolate,,,Pua,Remy,,
C417,1,2Pack,Frosted Sugar,Salmon Roll,,,Nemo,Daisy Duck,,
C418,1,2Pack,Garlic Mini Baguette,Honey Cake,,,Tramp,Winnie the Pooh,,
C419,1,2Pack,Blueberry Pie,Peanut Butter Swirl Cake Pop,,,Sadness,Tigger,,
C420,1,2Pack,Mint Dipped Ice Cream Sandwich,Salted Caramel Chocolate Tart,,,Mickey Mouse,Mickey Mouse,,
C421,1,2Pack,French Hot Chocolate,Milk Chocolate Ganache Truffle,,,Remy,Dale,,
C422,1,2Pack,Dark Chocolate Ganache Truffle,Strawberry Sundae Waffle Bowl,,,Chip,Minnie Mouse,,
C423,1,2Pack,Dragonfruit Petit Cake,Milk Chocolate Ganache Truffle,,,Pua,Dale,,
C424,1,2Pack,Cheesy Grilled Squash,Frosted Sugar,,,Timon,Nemo,,
C425,1,2Pack,Mixed Fruit Tart,Onigiri Nori,,,Minnie Mouse,Donald Duck,,
C426,1,2Pack,Dark Chocolate Ganache Truffle,Peanut Butter Swirl Cake Pop,,,Chip,Tigger,,
C427,1,2Pack,French Hot Chocolate,Salmon Roll,,,Remy,Daisy Duck,,
C428,1,2Pack,Dark Chocolate Ganache Truffle,Lettuce Wrap,,,Chip,Bambi,,
C429,1,2Pack,Lavender Ice Cream Sundae,Peanut Butter Swirl Cake Pop,,,Ursula,Tigger,,
C430,1,2Pack,Frosted Sugar,Salted Caramel Chocolate Tart,,,Nemo,Mickey Mouse,,
C431,1,2Pack,Chocolate Dipped Sponge Cake,Peanut Butter Swirl Cake Pop,,,Wall-E,Tigger,,
C432,1,2Pack,Garlic Mini Baguette,Salted Caramel Chocolate Tart,,,Tramp,Mickey Mouse,,
C433,1,2Pack,French Hot Chocolate,Mochi Sundae,,,Remy,Pearl,,
C434,1,2Pack,Roasted Butternut Squash Ravioli,French Hot Chocolate,,,Lady,Remy,,
C435,1,2Pack,Iced Sugar Cookie,Strawberry Sundae Waffle Bowl,,,Donald Duck,Minnie Mouse,,
C435,1,2Pack,Strawberry Sundae Waffle Bowl,Frosted Sugar,,,Minnie Mouse,Nemo,,
C436,1,2Pack,Cheesy Grilled Squash,Salted Caramel Chocolate Tart,,,Timon,Mickey Mouse,,
C437,1,2Pack,Chocolate Dipped Sponge Cake,Dark Chocolate Ganache Truffle,,,Wall-E,Chip,,
C438,1,2Pack,Blue Raspberry Frozen Yogurt,Mint Dipped Ice Cream Sandwich,,,Flotsam & Jetsam,Mickey Mouse,,
C439,1,2Pack,Salmon Roll,Dragonfruit Petit Cake,,,Daisy Duck,Pua,,
C440,1,2Pack,Cinnamon Cherry Macaron,French Hot Chocolate,,,Sebastian,Remy,,
C441,1,2Pack,Banana Berry Candy,Salted Caramel Chocolate Tart,,,Flounder,Mickey Mouse,,
C442,1,2Pack,Dark Chocolate Ganache Truffle,Garlic Mini Baguette,,,Chip,Tramp,,
C443,1,2Pack,Everything Bagel Sandwich,Onigiri Nori,,,Minnie Mouse,Donald Duck,,
C443,1,2Pack,Onigiri Nori,Everything Bagel Sandwich,,,Donald Duck,Minnie Mouse,,
C444,1,2Pack,Mint Dipped Ice Cream Sandwich,,,,Mickey Mouse,,,
C444,1,2Pack,Mint Dipped Ice Cream Sandwich,Pumpkin Sage,,,Mickey Mouse,Pumbaa,,
C445,1,2Pack,Peanut Butter Swirl Cake Pop,Strawberry Sundae Waffle Bowl,,,Tigger,Minnie Mouse,,
C446,1,2Pack,Milk Chocolate Ganache Truffle,Onigiri Nori,,,Dale,Donald Duck,,
C447,1,2Pack,Salmon Roll,Spiced Carrot Cake,,,Daisy Duck,Thumper,,
C448,1,2Pack,Dragonfruit Petit Cake,Peanut Butter Swirl Cake Pop,,,Pua,Tigger,,
C449,1,2Pack,Frosted Sugar,Lettuce Wrap,,,Nemo,Bambi,,
C450,1,2Pack,Salted Caramel Chocolate Tart,Cinnamon Cherry Macaron,,,Mickey Mouse,Sebastian,,
C450,1,2Pack,Salted Caramel Chocolate Tart,Peanut Butter Swirl Cake Pop,,,Mickey Mouse,Tigger,,
C451,1,2Pack,French Hot Chocolate,Oat Milk,,,Remy,Baymax,,
C452,1,2Pack,Chocolate Dipped Sponge Cake,Milk Chocolate Ganache Truffle,,,Wall-E,Dale,,
C453,1,2Pack,Dark Chocolate Ganache Truffle,Dragonfruit Petit Cake,,,Chip,Pua,,
C454,1,2Pack,Dragonfruit Petit Cake,Lemon Berry Ice Pop,,,Pua,Dory,,
C455,1,2Pack,Frosted Sugar,Strawberry Croissant,,,Nemo,Emile,,
C456,1,2Pack,French Hot Chocolate,Salted Caramel Chocolate Tart,,,Remy,Mickey Mouse,,
C457,1,2Pack,Dark Chocolate Ganache Truffle,French Hot Chocolate,,,Chip,Remy,,
C458,1,2Pack,Dragonfruit Petit Cake,Strawberry Sundae Waffle Bowl,,,Pua,Minnie Mouse,,
C459,1,2Pack,Chocolate Dipped Mint Marshmallow,Milk Chocolate Ganache Truffle,,,Eve,Dale,,
C460,1,2Pack,Onigiri Nori,Salted Caramel Chocolate Tart,,,Donald Duck,Mickey Mouse,,
C461,1,2Pack,Lettuce Wrap,Tropical Fruit Slushy,,,Bambi,Hei Hei,,
C462,1,2Pack,Chocolate Dipped Sponge Cake,Dragonfruit Petit Cake,,,Wall-E,Pua,,
C463,1,2Pack,Frosted Sugar,Garlic Mini Baguette,,,Nemo,Tramp,,
C464,1,2Pack,Banana Berry Candy,Iced Cookie Latte,,,Flounder,Mickey Mouse,,
C465,1,2Pack,Mixed Fruit Tart,Peanut Butter Chocolate Swirl Cup,,,Minnie Mouse,Pluto,,
C465,1,2Pack,Mixed Fruit Tart,Peanut Butter Swirl Cake Pop,,,Minnie Mouse,Tigger,,
C466,1,2Pack,Garlic Mini Baguette,Milk Chocolate Ganache Truffle,,,Tramp,Dale,,
C467,1,2Pack,Banana Berry Candy,French Hot Chocolate,,,Flounder,Remy,,
C468,1,2Pack,Dark Chocolate Ganache Truffle,Milk Chocolate Ganache Truffle,,,Chip,Dale,,
C469,1,2Pack,Banana Berry Candy,Roasted Butternut Squash Ravioli,,,Flounder,Lady,,
C470,1,2Pack,Salmon Roll,Salted Caramel Chocolate Tart,,,Daisy Duck,Mickey Mouse,,
C471,1,2Pack,Cinnamon Cherry Macaron,Peanut Butter Swirl Cake Pop,,,Sebastian,Tigger,,
C472,1,2Pack,Cheesy Grilled Squash,Dragonfruit Petit Cake,,,Timon,Pua,,
C473,1,2Pack,French Hot Chocolate,Orange Ice Pop,,,Remy,Marlin,,
TL001,1,2Pack,Key Lime Cupcake with Graham Cracker Crumble,Acai Bowl,,,Alien,Angel,,
A002,1,4Pack,Chocolate Chip Cookie,Frosted Sugar,Peanut Butter Swirl Cake Pop,Wild Strawberry Cupcake,Patch,Nemo,Tigger,Minnie Mouse
A003,1,4Pack,Blue Raspberry Gumdrop,Cool Mint Candy Bonbon,Key Lime Cupcake with Graham Cracker Crumble,Milk Chocolate Ganache Truffle,Sulley,Mickey Mouse,Alien,Dale
A004,1,4Pack,Elote,Falafel Pita Pocket (Dale),Stuffed Pepper,Vegetable Shumai,Donald Duck,Dale,Winnie the Pooh,Pluto
A005,1,4Pack,Elote,Garlic Mini Baguette,Roasted Butternut Squash Ravioli,Stuffed Pepper,Donald Duck,Tramp,Lady,Winnie the Pooh
A007,1,4Pack,Milk Chocolate Ganache Truffle,Wild Blueberry Muffin,Chocolate Rasberry Mousse Cake,Blue Raspberry Gumdrop,Dale,Eeyore,Leroy,Sulley
A012,1,4Pack,Falafel Pita Pocket (Chip),Loaded Baked Potato,Onigiri Nori,Pepperoni Pizza,Chip,Mickey Mouse,Donald Duck,Minnie Mouse
A021,1,4Pack,Strawberry & Granola Yogurt Cake Pop,Melon Gelato Sundae,Chocolate Dipped Mint Chip Ice Cream Cone,Blueberry Crumble Frozen Yogurt,Daisy Duck,Joy,Patch,Stitch
A023,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Mint Chip Ice Cream Cone,Melon Gelato Sundae,Tropical Fruit Slushy,Stitch,Patch,Joy,Hei Hei
A025,1,4Pack,Chocolate Brownie Bar,Dragonfruit Petit Cake,Strawberry & Granola Yogurt Cake Pop,Strawberry Sundae Waffle Bowl,Goofy,Pua,Daisy Duck,Minnie Mouse
A028,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Mint Chip Ice Cream Cone,Chocolate Dipped Sponge Cake,Melon Gelato Sundae,Stitch,Patch,Wall-E,Joy
A033,1,4Pack,Falafel Pita Pocket (Chip),Falafel Pita Pocket (Dale),Loaded Baked Potato,Vegetable Shumai,Chip,Dale,Mickey Mouse,Pluto
A036,1,4Pack,Strawberry & Granola Yogurt Cake Pop,Melon Gelato Sundae,Dragonfruit Petit Cake,Blueberry Crumble Frozen Yogurt,Daisy Duck,Joy,Pua,Stitch
A039,1,4Pack,Chocolate Brownie Bar,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Wild Raspberry Lollipop,Goofy,Mickey Mouse,Minnie Mouse,Donald Duck
A042,1,4Pack,Banana Nut Bread,Blue Raspberry Gumdrop,Milk Chocolate Ganache Truffle,Tripleberry Candy Bonbon,King Louie,Sulley,Dale,Dumbo
A043,1,4Pack,Milk Chocolate Ganache Truffle,Tripleberry Candy Bonbon,Banana Nut Bread,Blue Raspberry Gumdrop,Dale,Dumbo,King Louie,Sulley
A047,1,4Pack,Lettuce Wrap,Falafel Pita Pocket (Chip),Falafel Pita Pocket (Dale),Vegetable Shumai,Bambi,Chip,Dale,Pluto
A048,1,4Pack,Cool Mint Candy Bonbon,Frosted Sugar,Iced Sugar Cookie,Peanut Butter Swirl Cake Pop,Mickey Mouse,Nemo,Donald Duck,Tigger
A050,1,4Pack,Banana Berry Candy,Chocolate Brownie Bar,Salted Caramel Chocolate Tart,Blueberry Pineapple Upside Down Cake,Flounder,Goofy,Mickey Mouse,Stitch
A055,1,4Pack,Cool Mint Candy Bonbon,Fruit Parfait,Peanut Butter Swirl Cake Pop,Vanilla Macaron,Mickey Mouse,Cheshire Cat,Tigger,Marie
A057,1,4Pack,Chocolate Chip Cookie,Cotton Candy,Frosted Sugar,Peanut Butter Swirl Cake Pop,Patch,Marie,Nemo,Tigger
A058,1,4Pack,Blueberry Crumble Frozen Yogurt,Dragonfruit Petit Cake,Lemon Mint Shaved Ice,Strawberry & Granola Yogurt Cake Pop,Stitch,Pua,Winnie the Pooh,Daisy Duck
A059,1,4Pack,Cool Mint Candy Bonbon,Frosted Sugar,Peanut Butter Chocolate Swirl Cup,Wild Strawberry Cupcake,Mickey Mouse,Nemo,Pluto,Minnie Mouse
A059,1,4Pack,Cool Mint Candy Bonbon,Wild Strawberry Cupcake,Frosted Sugar,Peanut Butter Swirl Cake Pop,Mickey Mouse,Minnie Mouse,Nemo,Tigger
A059,1,4Pack,Cool Mint Candy Bonbon,Strawberry Birthday Cupcake,Frosted Sugar,Peanut Butter Swirl Cake Pop,Mickey Mouse,Minnie Mouse,Nemo,Tigger
A060,1,4Pack,Falafel Pita Pocket (Chip),Garlic Mini Baguette,Loaded Baked Potato,Pumpkin Sage,Chip,Tramp,Mickey Mouse,Pumbaa
A063,1,4Pack,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Lemon Mint Shaved Ice,Strawberry Sundae Waffle Bowl,Patch,Pua,Winnie the Pooh,Minnie Mouse
A068,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Mint Chip Ice Cream Cone,Lemon Mint Shaved Ice,Strawberry & Granola Yogurt Cake Pop,Stitch,Patch,Winnie the Pooh,Daisy Duck
A071,1,4Pack,Chocolate Chip Cookie,Dark Chocolate Ganache Truffle,Frosted Sugar,Toasted Smore,Patch,Chip,Nemo,Baymax
A071,1,4Pack,Chocolate Chip Cookie,Dark Chocolate Ganache Truffle,Iced Sugar Cookie,Toasted Smore,Patch,Chip,Donald Duck,Baymax
A076,1,4Pack,Elote,Loaded Baked Potato,Onigiri Nori,Stuffed Pepper,Donald Duck,Mickey Mouse,Donald Duck,Winnie the Pooh
A077,1,4Pack,Tripleberry Candy Bonbon,Blueberry Pancake,Frosted Sugar,Peanut Butter Swirl Cake Pop,Dumbo,Minnie Mouse,Nemo,Tigger
A083,1,4Pack,Elote,Salmon Roll,Stuffed Pepper,Vegetable Shumai,Donald Duck,Daisy Duck,Winnie the Pooh,Pluto
A088,1,4Pack,Chocolate Chip Cookie,Cool Mint Candy Bonbon,Frosted Sugar,Milk Chocolate Ganache Truffle,Patch,Mickey Mouse,Nemo,Dale
A091,1,4Pack,Cotton Candy,Peanut Butter Swirl Cake Pop,Strawberry Birthday Cupcake,Vanilla Macaron,Marie,Tigger,Minnie Mouse,Marie
A092,1,4Pack,Blueberry Crumble Frozen Yogurt,Cherry Snow Cone,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Stitch,Donald Duck,Patch,Pua
A106,1,4Pack,Dark Chocolate Ganache Truffle,Banana Berry Candy,Frosted Sugar,Chocolate Chip Cookie,Chip,Flounder,Nemo,Patch
A108,1,4Pack,Cinnamon Cherry Macaron,Cool Mint Candy Bonbon,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Sebastian,Mickey Mouse,Mickey Mouse,Minnie Mouse
A112,1,4Pack,Falafel Pita Pocket (Dale),Elote,Loaded Baked Potato,Stuffed Pepper,Dale,Donald Duck,Mickey Mouse,Winnie the Pooh
A115,1,4Pack,Blueberry Crumble Frozen Yogurt,Lavender Ice Cream Sundae,Strawberry & Granola Yogurt Cake Pop,Strawberry Sundae Waffle Bowl,Stitch,Ursula,Daisy Duck,Minnie Mouse
A117,1,4Pack,Milk Chocolate Ganache Truffle,Banana Berry Candy,Chocolate Brownie Bar,Banana Nut Bread,Dale,Flounder,Goofy,King Louie
A118,1,4Pack,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Toasted Smore,Vanilla Macaron,Mickey Mouse,Minnie Mouse,Baymax,Marie
A121,1,4Pack,Falafel Pita Pocket (Chip),Garlic Mini Baguette,Tomato Celery Boat,Vegetable Shumai,Chip,Tramp,Mushu,Pluto
A124,1,4Pack,Blue Raspberry Gumdrop,Chocolate Rasberry Mousse Cake,Dark Chocolate Ganache Truffle,Wild Raspberry Lollipop,Sulley,Leroy,Chip,Donald Duck
A134,1,4Pack,Frosted Sugar,Peanut Butter Swirl Cake Pop,Vanilla Macaron,Wild Blueberry Muffin,Nemo,Tigger,Marie,Eeyore
A149,1,4Pack,Elote,Falafel Pita Pocket (Chip),Loaded Baked Potato,Salmon Roll,Donald Duck,Chip,Mickey Mouse,Daisy Duck
A150,1,4Pack,Blueberry Crumble Frozen Yogurt,Cherry Snow Cone,Lavender Ice Cream Sundae,Lemon Mint Shaved Ice,Stitch,Donald Duck,Ursula,Winnie the Pooh
A152,1,4Pack,Falafel Pita Pocket (Chip),Lettuce Wrap,Loaded Baked Potato,Vegetable Shumai,Chip,Bambi,Mickey Mouse,Pluto
A159,1,4Pack,Chocolate Brownie Bar,Cinnamon Swirl Bun,Salted Caramel Chocolate Tart,Concha Bread Ice Cream,Goofy,Mickey Mouse,Mickey Mouse,Squirt
A161,1,4Pack,Melon Gelato Sundae,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Blueberry Crumble Frozen Yogurt,Joy,Patch,Pua,Stitch
A163,1,4Pack,Blue Raspberry Gumdrop,Bubblegum Lollipop,Chocolate Chip Cookie,Dark Chocolate Ganache Truffle,Sulley,Cheshire Cat,Patch,Chip
A166,1,4Pack,Elote,Loaded Baked Potato,Onigiri Nori,Stuffed Pepper,Donald Duck,Mickey Mouse,Donald Duck,Winnie the Pooh
A167,1,4Pack,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Strawberry & Granola Yogurt Cake Pop,Wild Strawberry Cupcake,Patch,Pua,Daisy Duck,Minnie Mouse
A168,1,4Pack,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Lemon Mint Shaved Ice,Strawberry & Granola Yogurt Cake Pop,Patch,Pua,Winnie the Pooh,Daisy Duck
A170,1,4Pack,Falafel Pita Pocket (Chip),Falafel Pita Pocket (Dale),Stuffed Pepper,Vegetable Shumai,Chip,Dale,Winnie the Pooh,Pluto
A172,1,4Pack,Chocolate Brownie Bar,Chocolate Dipped Strawberry,Cinnamon Swirl Bun,Milk Chocolate Ganache Truffle,Goofy,Piglet,Mickey Mouse,Dale
A177,1,4Pack,Chocolate Brownie Bar,Chocolate Rasberry Mousse Cake,Milk Chocolate Ganache Truffle,Peppermint Meringue Hard Candy,Goofy,Leroy,Dale,Minnie Mouse
A181,1,4Pack,Lettuce Wrap,Elote,Vegetable Shumai,Stuffed Pepper,Bambi,Donald Duck,Pluto,Winnie the Pooh
A183,1,4Pack,Acai Bowl,Strawberry & Granola Yogurt Cake Pop,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Sponge Cake,Angel,Daisy Duck,Stitch,Wall-E
A185,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Strawberry Sundae Waffle Bowl,Stitch,Patch,Pua,Minnie Mouse
A186,1,4Pack,Dark Chocolate Ganache Truffle,Wild Strawberry Cupcake,Frosted Sugar,Chocolate Chip Cookie,Chip,Minnie Mouse,Nemo,Patch
A187,1,4Pack,Elote,Falafel Pita Pocket (Chip),Pepperoni Pizza,Vegetable Shumai,Donald Duck,Chip,Minnie Mouse,Pluto
A190,1,4Pack,Chocolate Brownie Bar,Chocolate Dipped Mint Marshmallow,Salted Caramel Chocolate Tart,Wild Blueberry Muffin,Goofy,Eve,Mickey Mouse,Eeyore
A194,1,4Pack,Cinnamon Swirl Bun,Peanut Butter Swirl Cake Pop,Strawberry Birthday Cupcake,Vanilla Macaron,Mickey Mouse,Tigger,Minnie Mouse,Marie
A199,1,4Pack,Bubblegum Lollipop,Peanut Butter Swirl Cake Pop,Strawberry Croissant,Vanilla Macaron,Cheshire Cat,Tigger,Emile,Marie
A202,1,4Pack,Cotton Candy,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Vanilla Macaron,Marie,Mickey Mouse,Minnie Mouse,Marie
A203,1,4Pack,Toasted Smore,Vanilla Macaron,Strawberry Birthday Cupcake,Blueberry Pie,Baymax,Marie,Minnie Mouse,Sadness
A205,1,4Pack,Chocolate Chip Cookie,Frosted Sugar,Peanut Butter Swirl Cake Pop,Tripleberry Candy Bonbon,Patch,Nemo,Tigger,Dumbo
A207,1,4Pack,Bubblegum Lollipop,Chocolate Brownie Bar,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Cheshire Cat,Goofy,Mickey Mouse,Minnie Mouse
A209,1,4Pack,Blue Raspberry Gumdrop,Chocolate Chip Cookie,Cinnamon Swirl Bun,Dark Chocolate Ganache Truffle,Sulley,Patch,Mickey Mouse,Chip
A211,1,4Pack,Blue Raspberry Gumdrop,Dark Chocolate Ganache Truffle,Milk Chocolate Ganache Truffle,Wild Blueberry Muffin,Sulley,Chip,Dale,Eeyore
A213,1,4Pack,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Chocolate Dipped Sponge Cake,Fruit and Granola Parfait,Patch,Pua,Wall-E,White Rabbit
A219,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Sponge Cake,Dragonfruit Petit Cake,Strawberry & Granola Yogurt Cake Pop,Stitch,Wall-E,Pua,Daisy Duck
A220,1,4Pack,Chocolate Brownie Bar,Peppermint Meringue Hard Candy,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Goofy,Minnie Mouse,Mickey Mouse,Minnie Mouse
A221,1,4Pack,Bubblegum Lollipop,Chocolate Brownie Bar,Cotton Candy,Milk Chocolate Ganache Truffle,Cheshire Cat,Goofy,Marie,Dale
A225,1,4Pack,Falafel Pita Pocket (Chip),Onigiri Nori,Loaded Baked Potato,Vegetable Shumai,Chip,Donald Duck,Mickey Mouse,Pluto
A226,1,4Pack,Falafel Pita Pocket (Chip),Onigiri Nori,Pepperoni Pizza,Vegetable Shumai,Chip,Donald Duck,Minnie Mouse,Pluto
A227,1,4Pack,Falafel Pita Pocket (Chip),Pepperoni Pizza,Stuffed Pepper,Vegetable Shumai,Chip,Minnie Mouse,Winnie the Pooh,Pluto
A228,1,4Pack,Cherry Snow Cone,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Lemon Chocolate Cake,Donald Duck,Patch,Pua,Simba
A239,1,4Pack,Cinnamon Swirl Bun,Milk Chocolate Ganache Truffle,Salmon Roll,Vanilla Macaron,Mickey Mouse,Dale,Daisy Duck,Marie
A239,1,4Pack,Milk Chocolate Ganache Truffle,Banana Nut Bread,Vanilla Macaron,Cinnamon Swirl Bun,Dale,King Louie,Marie,Mickey Mouse
A241,1,4Pack,Blueberry Crumble Frozen Yogurt,Dragonfruit Petit Cake,Strawberry & Granola Yogurt Cake Pop,Strawberry Sundae Waffle Bowl,Stitch,Pua,Daisy Duck,Minnie Mouse
A243,1,4Pack,Dark Chocolate Ganache Truffle,Cotton Candy,Frosted Sugar,Chocolate Chip Cookie,Chip,Marie,Nemo,Patch
A245,1,4Pack,Coconut Water,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Wild Strawberry Cupcake,Daisy Duck,Mickey Mouse,Minnie Mouse,Minnie Mouse
A246,1,4Pack,Blue Raspberry Gumdrop,Milk Chocolate Ganache Truffle,Mochi Sundae,Toasted Smore,Sulley,Dale,Pearl,Baymax
A248,1,4Pack,Elote,Lettuce Wrap,Loaded Baked Potato,Stuffed Pepper,Donald Duck,Bambi,Mickey Mouse,Winnie the Pooh
A249,1,4Pack,Banana Berry Candy,Berry Blue Rock Candy,Peanut Butter Swirl Cake Pop,Vanilla Macaron,Flounder,Sulley,Tigger,Marie
A250,1,4Pack,Elote,Garlic Mini Baguette,Loaded Baked Potato,Spiced Carrot Cake,Donald Duck,Tramp,Mickey Mouse,Thumper
A252,1,4Pack,Strawberry & Granola Yogurt Cake Pop,Melon Gelato Sundae,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Daisy Duck,Joy,Patch,Pua
A253,1,4Pack,Cherry Snow Cone,Chocolate Dipped Mint Chip Ice Cream Cone,Dragonfruit Petit Cake,Strawberry & Granola Yogurt Cake Pop,Donald Duck,Patch,Pua,Daisy Duck
A257,1,4Pack,Elote,Loaded Baked Potato,Red Bean Shaved Ice,Salmon Roll,Donald Duck,Mickey Mouse,Panda Mei,Daisy Duck
A265,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Sponge Cake,Peanut Butter Chocolate Swirl Cup,Strawberry & Granola Yogurt Cake Pop,Stitch,Wall-E,Pluto,Daisy Duck
A266,1,4Pack,"Banana Berry Candy, Peanut Butter Swirl Cake Pop, Sea Salt Caramel Cookie, Vanilla Macaron, Wild Raspberry Lollipop",,,,#N/A,,,
A270,1,4Pack,Falafel Pita Pocket (Chip),Salmon Roll,Red Bean Shaved Ice,Vegetable Shumai,Chip,Daisy Duck,Panda Mei,Pluto
A273,1,4Pack,Chocolate Brownie Bar,Salted Caramel Chocolate Tart,Strawberry Birthday Cupcake,Tripleberry Candy Bonbon,Goofy,Mickey Mouse,Minnie Mouse,Dumbo
A274,1,4Pack,Banana Berry Candy,Cool Mint Candy Bonbon,Frosted Sugar,Chocolate Chip Cookie,Flounder,Mickey Mouse,Nemo,Patch
A276,1,4Pack,Blueberry Crumble Frozen Yogurt,Cherry Snow Cone,Mixed Fruit Tart,Strawberry & Granola Yogurt Cake Pop,Stitch,Donald Duck,Minnie Mouse,Daisy Duck
A279,1,4Pack,Blue Raspberry Gumdrop,Chocolate Chip Cookie,Dark Chocolate Ganache Truffle,Wild Blueberry Muffin,Sulley,Patch,Chip,Eeyore
A284,1,4Pack,Bubblegum Lollipop,Dark Chocolate Ganache Truffle,Milk Chocolate Ganache Truffle,Blue Raspberry Gumdrop,Cheshire Cat,Chip,Dale,Sulley
A285,1,4Pack,Elote,Loaded Baked Potato,Pepperoni Pizza,Stuffed Pepper,Donald Duck,Mickey Mouse,Minnie Mouse,Winnie the Pooh
A287,1,4Pack,Blue Raspberry Gumdrop,Chocolate Chip Cookie,Dark Chocolate Ganache Truffle,Wild Raspberry Lollipop,Sulley,Patch,Chip,Donald Duck
A297,1,4Pack,Blue Raspberry Gumdrop,Honey Cake,Milk Chocolate Ganache Truffle,Wild Strawberry Cupcake,Sulley,Winnie the Pooh,Dale,Minnie Mouse
B334,1,4Pack,#VALUE!,,,,#N/A,,,
TL002,1,4Pack,Blueberry Crumble Frozen Yogurt,Chocolate Dipped Sponge Cake,Strawberry & Granola Yogurt Cake Pop,Vegetable Shumai,Stitch,Wall-E,Daisy Duck,Pluto
47,1,Bag #,Blue Raspberry Gumdrop,,,,Sulley,,,
A250,1,Bag #,#VALUE!,,,,#N/A,,,
1,1,Bag#,Mint Dipped Ice Cream Sandwich,,,,Mickey Mouse,,,
