Series,Character,Code,Rarity
Series 6,Abby,nan,Common
Series 6,Candlehead,nan,Common
Series 6,Tinker Bell,nan,Common
Series 6,Series 10,nan,Common
Series 4,Bunny,A 3,Common
Series 4,Eric,A 3,Common
Series 4,Gabby,A 3,Common
Series 4,Mrs Potts,A 3,Common
Series 4,Raja,A 3,Common
Series 4,Squirt,A 3,Common
Series 4,Stitch,A 3,Common
Series 4,A05,A 3,Common
Series 4,Series 5,A 3,Common
Series 4,Duke Caboom,A 3,Common
Series 4,Thumper,A 3,Common
Series 4,Clarabelle,A 3,Common
Series 4,Marie,A 3,Common
Series 4,Lucifer,A 3,Common
Series 4,Cinderella,A 3,Common
Series 4,Mickey,A 3,Common
Series 4,Pascal,A 3,Common
Series 4,Anna,A 3,Common
Series 4,Flora,A 3,Common
Series 4,A02,A 3,Common
Series 4,Series 6,A 3,Common
Series 4,White Rabbit,A 3,Common
Series 4,Minnie Mouse,A 3,Common
Series 4,Captain Hook,A 3,Common
Series 4,Dyan,A 3,Common
Series 4,Snow White,A 3,Common
Series 4,Sleepy,A 3,Common
Series 5,Buttercup,nan,Common
Series 5,Fauna,nan,Common
Series 5,Flower,nan,Common
Series 5,Lucifer,nan,Common
Series 5,Marie,nan,Common
Series 5,Minnie,nan,Common
Series 5,Tamatoa,nan,Common
Series 5,Series 6,nan,Common
Series 5,Happy,nan,Common
Series 5,Rapunzel,nan,Common
Series 5,Sisu,nan,Common
Series 5,Alice,nan,Common
Series 5,Roo,nan,Common
Series 5,Snow White,nan,Common
Series 5,Ariel Mermaid,nan,Common
Series 5,Mickey,nan,Common
Series 5,Pan Monkey,nan,Common
Series 5,Rabbit (Pooh),nan,Common
Series 5,Q. Hearts,nan,Common
Series 5,Ursula,nan,Common
Series 5,Mr. Smee,nan,Common
Series 5,Piglet,nan,Common
Series 5,Series 7,nan,Common
Series 5,Kevin,nan,Common
Series 5,Maurice,nan,Common
Series 5,Mowgli,nan,Common
Series 5,Anger,nan,Common
Series 5,Tiana,nan,Common
Series 5,Louis,nan,Common
Series 5,Snowgie,nan,Common
Series 5,Olaf,nan,Common
Series 5,Jack Jack,nan,Common
Series 5,Pascal-Orange,nan,Common
Series 6,Ariel,nan,Common
Series 6,Cheshire,nan,Common
Series 6,Cinderella,nan,Common
Series 6,Dopey,nan,Common
Series 6,Mickey LE,nan,Common
Series 6,Rabbit,nan,Common
Series 6,Tiana,nan,Common
Series 6,Tick Tock,nan,Common
Series 6,Uka,nan,Common
Series 6,Ursula,nan,Common
Series 6,Series 8,nan,Common
Series 6,Iridessa,nan,Common
Series 6,Boo,nan,Common
Series 6,Megara,nan,Common
Series 6,Priya,nan,Common
Series 6,King Candy,nan,Common
Series 6,Ariel,nan,Common
Series 6,GoGo Tomago,nan,Common
Series 6,Bing Bong-Scented,nan,Common
Series 4,Buzz,A 4,Common
Series 4,Godmother,A 4,Common
Series 4,Lumiere,A 4,Common
Series 4,Maximus,A 4,Common
Series 4,Mufasa,A 4,Common
Series 4,Pearly,A 4,Common
Series 4,Sven,A 4,Common
Series 4,A04,A 4,Common
Series 4,Series 6,A 4,Common
Series 4,Rabbit (Flocked),A 4,Common
Series 4,Ariel- Mermaid,A 4,Common
Series 4,Belle,A 4,Common
Series 4,Raya,A 4,Common
Series 4,Uka,A 4,Common
Series 4,Grumpy,A 4,Common
Series 5,Friend Owl,nan,Common
Series 5,Green Alien,nan,Common
Series 5,Hei Hei,nan,Common
Series 5,Lucifer,nan,Common
Series 5,Merryweather,nan,Common
Series 5,Mickey,nan,Common
Series 5,Toulouse,nan,Common
Series 5,Series 7,nan,Common
Series 5,Carl,nan,Common
Series 5,Fifi,nan,Common
Series 5,Belle,nan,Common
Series 5,Kaa,nan,Common
Series 5,Fear,nan,Common
Series 5,Prince Naveen,nan,Common
Series 5,Anna,nan,Common
Series 5,Violet,nan,Common
Series 5,Pascal-Orange,nan,Common
Series 5,Aurora-Purple,nan,Common
Series 6,Belle,nan,Common
Series 6,Doc,nan,Common
Series 6,Flounder,nan,Common
Series 6,Hatter,nan,Common
Series 6,Peter Pan,nan,Common
Series 6,Pooh,nan,Common
Series 6,Rapunzel,nan,Common
Series 6,Raya,nan,Common
Series 6,Sleepy,nan,Common
Series 6,Uka,nan,Common
Series 6,Series 8,nan,Common
Series 6,Silvermist,nan,Common
Series 6,March Hare,nan,Common
Series 6,Caterpillar,nan,Common
Series 6,Pain,nan,Common
Series 6,Miriam,nan,Common
Series 6,Candlehead,nan,Common
Series 6,Rapunzel,nan,Common
Series 6,Snow White-Scented,nan,Common
Series 4,Triton,A 5,Common
Series 4,Stitch,A 5,Common
Series 4,Mrs. Potts,A 5,Common
Series 4,Sven,A 5,Common
Series 4,Abu,A 5,Common
Series 4,Bo Peep,A 5,Common
Series 4,Squirt,A 5,Common
Series 4,A07,A 5,Common
Series 4,Series 6,A 5,Common
Series 4,Tigger (Flocked),A 5,Common
Series 4,Flounder,A 5,Common
Series 4,Aurora,A 5,Common
Series 4,Pinocchio,A 5,Common
Series 4,Pan,A 5,Common
Series 4,Sneezy,A 5,Common
Series 5,Marie,nan,Common
Series 5,Anna,nan,Common
Series 5,Caboom,nan,Common
Series 5,Cinderella,nan,Common
Series 5,Clarabelle,nan,Common
Series 5,Pascal,nan,Common
Series 5,Flora,nan,Common
Series 5,Series 7,nan,Common
Series 5,Dug,nan,Common
Series 5,Bagheera,nan,Common
Series 5,Sadness,nan,Common
Series 5,Tiana,nan,Common
Series 5,Charlotte,nan,Common
Series 5,Elsa,nan,Common
Series 5,Elastigirl,nan,Common
Series 5,Jack Jack,nan,Common
Series 5,Cheshire Cat-Light,nan,Common
Series 5,Hank-Dark,nan,Common
Series 6,Roo,nan,Common
Series 6,Ursula,nan,Common
Series 6,Q. Hearts,nan,Common
Series 6,Smee,nan,Common
Series 6,Sisu,nan,Common
Series 6,Rapunzel,nan,Common
Series 6,Piglet,nan,Common
Series 6,Happy,nan,Common
Series 6,Pan,nan,Common
Series 6,Alice,nan,Common
Series 6,Series 8,nan,Common
Series 6,Tweedle Dum,nan,Common
Series 6,Sulley,nan,Common
Series 6,Phil,nan,Common
Series 6,Jubileena Bing-Bing,nan,Common
Series 6,Candlehead,nan,Common
Series 6,Felix,nan,Common
Series 6,Honey Lemon,nan,Common
Series 6,Belle-Scented,nan,Common
Series 4,Gabby,A6,Common
Series 4,Genie,A6,Common
Series 4,Gothel,A6,Common
Series 4,Lumiere,A6,Common
Series 4,Scrump,A6,Common
Series 4,Squirt,A6,Common
Series 4,Timon,A6,Common
Series 5,Charming,nan,Common
Series 5,Duchess,nan,Common
Series 5,Flora,nan,Common
Series 5,Minnie,nan,Common
Series 5,Princess Rap,nan,Common
Series 5,Rex,nan,Common
Series 5,Tamatoa,nan,Common
Series 6,Ariel BD,nan,Common
Series 6,Belle,nan,Common
Series 6,Cheshire,nan,Common
Series 6,Dumbo,nan,Common
Series 6,Dyan,nan,Common
Series 6,Flounder,nan,Common
Series 6,Pooh,nan,Common
Series 6,Sneezy,nan,Common
Series 6,Tink,nan,Common
Series 6,Wendy,nan,Common
Series 4,Buzz,A 7,Common
Series 4,Genie,A 7,Common
Series 4,Godmother,A 7,Common
Series 4,Lumiere,A 7,Common
Series 4,Mufasa,A 7,Common
Series 4,Pearl,A 7,Common
Series 4,Timon,A 7,Common
Series 5,Toulouse,nan,Common
Series 5,Anastasia,nan,Common
Series 5,Cinderella,nan,Common
Series 5,Clarabelle,nan,Common
Series 5,Maleficent,nan,Common
Series 5,Moana,nan,Common
Series 5,Olaf Hat,nan,Common
Series 6,Aurora,nan,Common
Series 6,Eeyore,nan,Common
Series 6,Happy,nan,Common
Series 6,Pan,nan,Common
Series 6,Pinocchio,nan,Common
Series 6,Raya,nan,Common
Series 6,Roo,nan,Common
Series 6,Sebastian,nan,Common
Series 6,Wendy,nan,Common
Series 6,White Rabbit,nan,Common
Series 4,Cogsworth,A 8,Common
Series 4,Gabby Gabby,A 8,Common
Series 4,Genie,A 8,Common
Series 4,Godmother,A 8,Common
Series 4,Gothel,A 8,Common
Series 4,Lilo,A 8,Common
Series 4,Sebastian,A 8,Common
Series 5,Charming,nan,Common
Series 5,Daisy,nan,Common
Series 5,Duchess,nan,Common
Series 5,Elsa,nan,Common
Series 5,Jessie,nan,Common
Series 5,Rapunzel Pan,nan,Common
Series 5,Rex,nan,Common
Series 6,Bashful,nan,Common
Series 6,Captain Hook,nan,Common
Series 6,Doc,nan,Common
Series 6,Piglet,nan,Common
Series 6,Pinocchio,nan,Common
Series 6,Q. Hearts,nan,Common
Series 6,Sebastian,nan,Common
Series 6,Snow White,nan,Common
Series 6,Tiana,nan,Common
Series 6,Tuk Tuk,nan,Common
